Smax_mean,<S^2>_mean,c,dev_Smax_mean,dev_<S^2>_mean
0.002,0.998,0.001,5.82427e-20,2.93232e-16
0.002012,0.999964,0.002,4.87437e-06,1.46231e-05
0.002022,1.00193,0.003,6.56645e-06,1.96993e-05
0.002034,1.0039,0.004,8.11293e-06,2.43388e-05
0.002056,1.00583,0.005,1.0675e-05,3.2025e-05
0.002072,1.00778,0.006,1.19128e-05,3.57385e-05
0.002102,1.00969,0.007,1.38411e-05,4.15232e-05
0.002116,1.01165,0.008,1.46122e-05,4.38365e-05
0.002156,1.01354,0.009,1.64885e-05,4.87122e-05
0.002192,1.01544,0.01,1.83014e-05,5.38473e-05
0.002218,1.01738,0.011,1.91228e-05,5.58253e-05
0.002264,1.01925,0.012,2.03331e-05,5.91946e-05
0.002308,1.02115,0.013,2.14287e-05,6.15904e-05
0.002346,1.02308,0.014,2.2574e-05,6.29902e-05
0.002376,1.02502,0.015,2.31153e-05,6.40578e-05
0.002422,1.02691,0.016,2.36845e-05,6.57493e-05
0.002472,1.0288,0.017,2.44054e-05,6.76189e-05
0.00251,1.03073,0.018,2.4597e-05,6.88453e-05
0.002566,1.03261,0.019,2.50708e-05,7.14157e-05
0.00261,1.03457,0.02,2.55559e-05,7.37287e-05
0.00265,1.03657,0.021,2.57746e-05,7.38525e-05
0.00268,1.03858,0.022,2.58561e-05,7.38791e-05
0.002716,1.04054,0.023,2.56125e-05,7.53443e-05
0.002764,1.04252,0.024,2.59607e-05,7.46079e-05
0.002788,1.04454,0.025,2.57573e-05,7.60287e-05
0.002844,1.04651,0.026,2.609e-05,7.87408e-05
0.00289,1.04851,0.027,2.55559e-05,8.2809e-05
0.002918,1.05055,0.028,2.4976e-05,8.48847e-05
0.00295,1.05265,0.029,2.4985e-05,8.80824e-05
0.002978,1.05473,0.03,2.47438e-05,9.33146e-05
0.003008,1.05686,0.031,2.45168e-05,9.65165e-05
0.003048,1.05895,0.032,2.47511e-05,9.89048e-05
0.003098,1.06104,0.033,2.53392e-05,0.000103181
0.003118,1.06318,0.034,2.56411e-05,0.000109126
0.00316,1.06527,0.035,2.60414e-05,0.000112985
0.003182,1.06741,0.036,2.59827e-05,0.000113944
0.003202,1.06955,0.037,2.56848e-05,0.000117488
0.003224,1.07169,0.038,2.60193e-05,0.000121951
0.00324,1.07386,0.039,2.58871e-05,0.000126209
0.003272,1.07602,0.04,2.69348e-05,0.000130264
0.003306,1.07814,0.041,2.76089e-05,0.000133474
0.003328,1.08035,0.042,2.84685e-05,0.000139998
0.003358,1.08254,0.043,2.83775e-05,0.000145254
0.003374,1.08483,0.044,2.86687e-05,0.000149404
0.003386,1.08709,0.045,2.87691e-05,0.000152217
0.003414,1.08935,0.046,2.97822e-05,0.000153539
0.003448,1.09162,0.047,3.03386e-05,0.00015921
0.003482,1.09377,0.048,3.05486e-05,0.000163682
0.003502,1.09597,0.049,3.069e-05,0.000167099
0.003522,1.09825,0.05,3.08047e-05,0.000168748
0.003542,1.1005,0.051,3.08931e-05,0.000173967
0.003572,1.10274,0.052,3.14262e-05,0.000178079
0.003588,1.10504,0.053,3.17258e-05,0.00018269
0.003608,1.10738,0.054,3.198e-05,0.000188585
0.003636,1.10967,0.055,3.22659e-05,0.000191484
0.00366,1.11206,0.056,3.21694e-05,0.000198253
0.0037,1.11439,0.057,3.344e-05,0.000204235
0.003728,1.11668,0.058,3.35602e-05,0.000208555
0.003748,1.11902,0.059,3.38716e-05,0.000210712
0.003792,1.1213,0.06,3.50418e-05,0.000217722
0.003822,1.12366,0.061,3.5087e-05,0.000221387
0.003844,1.12606,0.062,3.56914e-05,0.000226644
0.003878,1.12844,0.063,3.65637e-05,0.000230876
0.003906,1.13086,0.064,3.68381e-05,0.000234934
0.003936,1.13329,0.065,3.69125e-05,0.000239366
0.003964,1.13578,0.066,3.70966e-05,0.000245251
0.003986,1.13822,0.067,3.72879e-05,0.000248113
0.004008,1.14062,0.068,3.7772e-05,0.000250477
0.004028,1.14325,0.069,3.83846e-05,0.000264388
0.004046,1.14564,0.07,3.81927e-05,0.000267707
0.00407,1.14817,0.071,3.83293e-05,0.000273876
0.00411,1.15056,0.072,3.83502e-05,0.000276895
0.00413,1.15308,0.073,3.95643e-05,0.00027742
0.004154,1.15556,0.074,3.96953e-05,0.000286051
0.004172,1.15813,0.075,4.02999e-05,0.000291715
0.004198,1.16064,0.076,4.04086e-05,0.000296185
0.004232,1.16313,0.077,4.00945e-05,0.000302427
0.00426,1.16568,0.078,4.03492e-05,0.000311212
0.004282,1.16825,0.079,4.05986e-05,0.00031727
0.004316,1.17079,0.08,4.03428e-05,0.000323021
0.00434,1.17334,0.081,4.05474e-05,0.000324881
0.004364,1.17593,0.082,4.02274e-05,0.000325531
0.004404,1.17848,0.083,4.03587e-05,0.000328322
0.004422,1.18118,0.084,4.02377e-05,0.000332829
0.004446,1.18372,0.085,4.03165e-05,0.00033307
0.004462,1.18637,0.086,4.06499e-05,0.000340676
0.0045,1.18899,0.087,4.06855e-05,0.00034753
0.004508,1.19178,0.088,4.11736e-05,0.000353845
0.004538,1.19448,0.089,4.14312e-05,0.00035944
0.004566,1.19713,0.09,4.16504e-05,0.000364931
0.004592,1.19977,0.091,4.21263e-05,0.000371381
0.004618,1.2024,0.092,4.294e-05,0.000371932
0.004656,1.20518,0.093,4.45342e-05,0.000387406
0.004686,1.20789,0.094,4.46632e-05,0.00039475
0.00473,1.21066,0.095,4.48802e-05,0.000403891
0.004766,1.21339,0.096,4.48387e-05,0.000412915
0.004766,1.21636,0.097,4.48387e-05,0.000418715
0.00482,1.21905,0.098,4.52027e-05,0.000424163
0.004848,1.22179,0.099,4.54083e-05,0.000432838
0.004882,1.22458,0.1,4.5917e-05,0.000439592
0.004914,1.22744,0.101,4.65784e-05,0.000445432
0.004942,1.23037,0.102,4.63202e-05,0.000459502
0.004982,1.23317,0.103,4.73269e-05,0.000467909
0.005012,1.23613,0.104,4.78779e-05,0.000471827
0.005038,1.23912,0.105,4.78088e-05,0.000477366
0.005078,1.24199,0.106,4.78792e-05,0.000484968
0.00512,1.24486,0.107,4.82479e-05,0.000493605
0.005158,1.24777,0.108,4.88964e-05,0.000506311
0.005198,1.25067,0.109,4.95834e-05,0.000510365
0.005228,1.25363,0.11,5.06474e-05,0.000513771
0.005254,1.25656,0.111,5.08344e-05,0.000527531
0.005298,1.25957,0.112,5.17663e-05,0.000533677
0.005322,1.26248,0.113,5.21735e-05,0.0005383
0.005368,1.26542,0.114,5.23702e-05,0.000550773
0.005394,1.26845,0.115,5.2412e-05,0.000554412
0.00542,1.2714,0.116,5.22749e-05,0.00056333
0.00545,1.27433,0.117,5.31851e-05,0.000566266
0.005486,1.27743,0.118,5.3753e-05,0.000571923
0.005512,1.28053,0.119,5.42734e-05,0.000575939
0.005552,1.28377,0.12,5.48873e-05,0.00059016
0.005598,1.28681,0.121,5.64195e-05,0.000599261
0.005648,1.28972,0.122,5.68388e-05,0.000609668
0.00567,1.29283,0.123,5.65739e-05,0.000619938
0.0057,1.29595,0.124,5.63058e-05,0.000633642
0.005732,1.29911,0.125,5.6202e-05,0.000647741
0.005782,1.30219,0.126,5.63142e-05,0.000652113
0.00581,1.30536,0.127,5.61614e-05,0.000658872
0.005836,1.30869,0.128,5.62898e-05,0.000671267
0.005858,1.31199,0.129,5.62316e-05,0.000681408
0.005882,1.31513,0.13,5.66265e-05,0.00069149
0.005904,1.31843,0.131,5.68157e-05,0.000700451
0.005922,1.32174,0.132,5.68357e-05,0.000713552
0.005962,1.32492,0.133,5.77562e-05,0.000720498
0.005996,1.3283,0.134,5.75377e-05,0.000725494
0.006018,1.33162,0.135,5.75672e-05,0.000729284
0.006058,1.33494,0.136,5.84817e-05,0.000736114
0.006092,1.33833,0.137,5.91106e-05,0.00074473
0.00612,1.3417,0.138,5.9416e-05,0.00075532
0.00617,1.34487,0.139,6.09395e-05,0.000760218
0.006202,1.34831,0.14,6.12036e-05,0.00077818
