Smax_mean,<S^2>_mean,c,dev_Smax_mean,dev_<S^2>_mean
4.22e-06,1.02289,0.0112,2.93651e-08,2.40404e-06
4.23e-06,1.0231,0.0113,2.9832e-08,2.3659e-06
4.23e-06,1.02331,0.0114,2.9832e-08,2.36149e-06
4.24e-06,1.02352,0.0115,3.02751e-08,2.38346e-06
4.26e-06,1.02373,0.0116,3.18918e-08,2.39635e-06
4.27e-06,1.02394,0.0117,3.22599e-08,2.48412e-06
4.29e-06,1.02415,0.0118,3.29382e-08,2.46068e-06
4.295e-06,1.02436,0.0119,3.30961e-08,2.50635e-06
4.305e-06,1.02457,0.012,3.33984e-08,2.49743e-06
4.305e-06,1.02478,0.0121,3.33984e-08,2.53151e-06
4.325e-06,1.02499,0.0122,3.39505e-08,2.56814e-06
4.33e-06,1.0252,0.0123,3.40779e-08,2.58667e-06
4.335e-06,1.02541,0.0124,3.42012e-08,2.61606e-06
4.335e-06,1.02562,0.0125,3.42012e-08,2.66407e-06
4.335e-06,1.02583,0.0126,3.42012e-08,2.72933e-06
4.34e-06,1.02604,0.0127,3.43204e-08,2.79122e-06
4.345e-06,1.02625,0.0128,3.44355e-08,2.73929e-06
4.355e-06,1.02646,0.0129,3.46537e-08,2.79604e-06
4.36e-06,1.02667,0.013,3.47569e-08,2.77008e-06
4.365e-06,1.02688,0.0131,3.48561e-08,2.83109e-06
4.37e-06,1.0271,0.0132,3.49515e-08,2.92279e-06
4.385e-06,1.02731,0.0133,3.59211e-08,2.88679e-06
4.39e-06,1.02752,0.0134,3.59997e-08,2.98362e-06
4.405e-06,1.02773,0.0135,3.6901e-08,2.97924e-06
4.415e-06,1.02794,0.0136,3.76959e-08,2.98098e-06
4.435e-06,1.02815,0.0137,3.78953e-08,3.04591e-06
4.45e-06,1.02836,0.0138,3.80095e-08,3.06291e-06
4.46e-06,1.02857,0.0139,3.8069e-08,3.08896e-06
4.46e-06,1.02879,0.014,3.8069e-08,3.1442e-06
4.47e-06,1.029,0.0141,3.81151e-08,3.09624e-06
4.485e-06,1.02921,0.0142,3.88125e-08,3.10532e-06
4.485e-06,1.02942,0.0143,3.88125e-08,3.12552e-06
4.495e-06,1.02963,0.0144,3.88254e-08,3.15241e-06
4.515e-06,1.02985,0.0145,3.88125e-08,3.12471e-06
4.53e-06,1.03006,0.0146,3.87687e-08,3.19874e-06
4.55e-06,1.03027,0.0147,3.93094e-08,3.20434e-06
4.55e-06,1.03048,0.0148,3.93094e-08,3.1761e-06
4.57e-06,1.03069,0.0149,3.91557e-08,3.17188e-06
4.585e-06,1.03091,0.015,3.90062e-08,3.19857e-06
4.595e-06,1.03112,0.0151,3.88901e-08,3.22182e-06
4.6e-06,1.03133,0.0152,3.8827e-08,3.23414e-06
4.615e-06,1.03154,0.0153,3.9263e-08,3.3195e-06
4.625e-06,1.03176,0.0154,3.91091e-08,3.33041e-06
4.64e-06,1.03197,0.0155,3.88529e-08,3.35462e-06
4.65e-06,1.03218,0.0156,3.86649e-08,3.40571e-06
4.665e-06,1.0324,0.0157,3.96451e-08,3.4114e-06
4.675e-06,1.03261,0.0158,3.9429e-08,3.4784e-06
4.68e-06,1.03282,0.0159,3.93158e-08,3.51001e-06
4.695e-06,1.03304,0.016,3.95944e-08,3.54298e-06
4.7e-06,1.03325,0.0161,3.94688e-08,3.51765e-06
4.715e-06,1.03346,0.0162,3.90705e-08,3.58318e-06
4.725e-06,1.03368,0.0163,3.87866e-08,3.63473e-06
4.725e-06,1.03389,0.0164,3.87866e-08,3.70009e-06
4.745e-06,1.0341,0.0165,3.81728e-08,3.74606e-06
4.76e-06,1.03432,0.0166,3.83321e-08,3.76281e-06
4.77e-06,1.03453,0.0167,3.79831e-08,3.83448e-06
4.775e-06,1.03474,0.0168,3.78024e-08,3.86639e-06
4.785e-06,1.03496,0.0169,3.74283e-08,3.9132e-06
4.79e-06,1.03517,0.017,3.72348e-08,3.93962e-06
4.795e-06,1.03539,0.0171,3.70369e-08,3.99489e-06
4.8e-06,1.0356,0.0172,3.68345e-08,4.03957e-06
4.805e-06,1.03582,0.0173,3.73073e-08,4.05207e-06
4.81e-06,1.03603,0.0174,3.70996e-08,4.02898e-06
4.82e-06,1.03625,0.0175,3.66705e-08,4.01036e-06
4.835e-06,1.03646,0.0176,3.66825e-08,4.11254e-06
4.85e-06,1.03668,0.0177,3.59718e-08,4.18926e-06
4.86e-06,1.03689,0.0178,3.54724e-08,4.21769e-06
4.87e-06,1.0371,0.0179,3.49515e-08,4.22603e-06
4.88e-06,1.03732,0.018,3.51308e-08,4.2513e-06
4.885e-06,1.03753,0.0181,3.48561e-08,4.24926e-06
4.895e-06,1.03775,0.0182,3.50144e-08,4.28822e-06
4.9e-06,1.03797,0.0183,3.54441e-08,4.31333e-06
4.9e-06,1.03818,0.0184,3.54441e-08,4.27983e-06
4.91e-06,1.0384,0.0185,3.48651e-08,4.27821e-06
4.915e-06,1.03861,0.0186,3.45666e-08,4.3187e-06
4.925e-06,1.03883,0.0187,3.39505e-08,4.39227e-06
4.955e-06,1.03904,0.0188,3.42159e-08,4.42304e-06
4.96e-06,1.03926,0.0189,3.38783e-08,4.45497e-06
4.965e-06,1.03948,0.019,3.35335e-08,4.46874e-06
4.98e-06,1.03969,0.0191,3.24541e-08,4.56047e-06
4.99e-06,1.03991,0.0192,3.32419e-08,4.61753e-06
4.99e-06,1.04012,0.0193,3.32419e-08,4.59659e-06
4.995e-06,1.04034,0.0194,3.28676e-08,4.64841e-06
5e-06,1.04056,0.0195,3.2485e-08,4.69001e-06
5e-06,1.04077,0.0196,3.2485e-08,4.70127e-06
5e-06,1.04099,0.0197,3.2485e-08,4.74331e-06
5e-06,1.04121,0.0198,3.2485e-08,4.80729e-06
5.01e-06,1.04142,0.0199,3.32419e-08,4.84831e-06
5.02e-06,1.04164,0.02,3.32192e-08,4.8586e-06
5.025e-06,1.04186,0.0201,3.28217e-08,4.87932e-06
5.035e-06,1.04207,0.0202,3.19999e-08,4.87675e-06
5.035e-06,1.04229,0.0203,3.19999e-08,4.95786e-06
5.06e-06,1.04251,0.0204,3.22054e-08,4.95976e-06
5.07e-06,1.04272,0.0205,3.13114e-08,4.95656e-06
5.085e-06,1.04294,0.0206,3.23125e-08,4.96014e-06
5.105e-06,1.04316,0.0207,3.35485e-08,5.06869e-06
5.115e-06,1.04338,0.0208,3.41277e-08,5.01218e-06
5.12e-06,1.0436,0.0209,3.367e-08,5.05199e-06
5.13e-06,1.04381,0.021,3.42251e-08,5.14159e-06
5.135e-06,1.04403,0.0211,3.44938e-08,5.18502e-06
5.14e-06,1.04425,0.0212,3.40263e-08,5.29473e-06
5.14e-06,1.04447,0.0213,3.40263e-08,5.33105e-06
5.145e-06,1.04468,0.0214,3.42893e-08,5.36411e-06
5.155e-06,1.0449,0.0215,3.40687e-08,5.38529e-06
5.17e-06,1.04512,0.0216,3.5522e-08,5.44571e-06
5.175e-06,1.04534,0.0217,3.57529e-08,5.45855e-06
5.18e-06,1.04556,0.0218,3.52735e-08,5.51327e-06
5.185e-06,1.04578,0.0219,3.61998e-08,5.5304e-06
5.185e-06,1.046,0.022,3.61998e-08,5.54671e-06
5.2e-06,1.04621,0.0221,3.6146e-08,5.65971e-06
5.205e-06,1.04643,0.0222,3.63522e-08,5.66169e-06
5.205e-06,1.04665,0.0223,3.63522e-08,5.6092e-06
5.21e-06,1.04687,0.0224,3.65538e-08,5.57786e-06
5.21e-06,1.04709,0.0225,3.65538e-08,5.63528e-06
5.215e-06,1.04731,0.0226,3.60607e-08,5.68908e-06
5.215e-06,1.04753,0.0227,3.60607e-08,5.71712e-06
5.225e-06,1.04775,0.0228,3.57529e-08,5.72633e-06
5.235e-06,1.04797,0.0229,3.61303e-08,5.70825e-06
5.235e-06,1.04819,0.023,3.61303e-08,5.75657e-06
5.24e-06,1.04841,0.0231,3.63124e-08,5.81999e-06
5.24e-06,1.04863,0.0232,3.63124e-08,5.78891e-06
5.25e-06,1.04885,0.0233,3.66636e-08,5.85288e-06
5.26e-06,1.04906,0.0234,3.69979e-08,5.8414e-06
5.275e-06,1.04928,0.0235,3.74686e-08,5.85488e-06
5.285e-06,1.04951,0.0236,3.84221e-08,5.87772e-06
5.295e-06,1.04973,0.0237,3.80409e-08,5.94433e-06
5.295e-06,1.04995,0.0238,3.80409e-08,5.94856e-06
5.31e-06,1.05017,0.0239,3.90786e-08,5.88102e-06
5.31e-06,1.05039,0.024,3.90786e-08,5.91597e-06
5.33e-06,1.05061,0.0241,4.01692e-08,6.07548e-06
5.345e-06,1.05083,0.0242,3.98474e-08,6.08872e-06
5.355e-06,1.05105,0.0243,4.00361e-08,6.17246e-06
5.36e-06,1.05127,0.0244,4.01254e-08,6.27397e-06
5.36e-06,1.05149,0.0245,4.01254e-08,6.28142e-06
5.365e-06,1.05171,0.0246,4.02114e-08,6.354e-06
5.38e-06,1.05193,0.0247,4.04497e-08,6.37543e-06
5.385e-06,1.05216,0.0248,4.1138e-08,6.45955e-06
5.39e-06,1.05238,0.0249,4.12067e-08,6.46888e-06
5.4e-06,1.0526,0.025,4.13345e-08,6.43861e-06
5.405e-06,1.05282,0.0251,4.13937e-08,6.51214e-06
5.41e-06,1.05304,0.0252,4.20517e-08,6.54723e-06
5.41e-06,1.05326,0.0253,4.20517e-08,6.56506e-06
5.41e-06,1.05349,0.0254,4.20517e-08,6.5407e-06
5.42e-06,1.05371,0.0255,4.21531e-08,6.69991e-06
5.425e-06,1.05393,0.0256,4.21993e-08,6.83484e-06
5.44e-06,1.05415,0.0257,4.23197e-08,6.84618e-06
5.46e-06,1.05438,0.0258,4.36063e-08,6.87936e-06
5.47e-06,1.0546,0.0259,4.36466e-08,6.89479e-06
5.475e-06,1.05482,0.026,4.36624e-08,6.95081e-06
5.495e-06,1.05504,0.0261,4.36969e-08,6.97716e-06
5.5e-06,1.05527,0.0262,4.48336e-08,7.02743e-06
5.505e-06,1.05549,0.0263,4.48322e-08,7.02617e-06
5.51e-06,1.05571,0.0264,4.4828e-08,7.04347e-06
5.51e-06,1.05594,0.0265,4.4828e-08,7.05566e-06
5.52e-06,1.05616,0.0266,4.48112e-08,7.03404e-06
5.53e-06,1.05638,0.0267,4.53407e-08,7.03501e-06
5.535e-06,1.05661,0.0268,4.53227e-08,7.09043e-06
5.545e-06,1.05683,0.0269,4.52783e-08,7.05165e-06
5.55e-06,1.05705,0.027,4.52519e-08,7.06778e-06
5.55e-06,1.05728,0.0271,4.52519e-08,7.03701e-06
5.555e-06,1.0575,0.0272,4.5775e-08,7.04061e-06
5.58e-06,1.05772,0.0273,4.66786e-08,7.03959e-06
5.585e-06,1.05795,0.0274,4.66342e-08,7.05401e-06
5.595e-06,1.05817,0.0275,4.5994e-08,7.06815e-06
5.595e-06,1.05839,0.0276,4.5994e-08,7.16285e-06
5.6e-06,1.05862,0.0277,4.59408e-08,7.17827e-06
5.6e-06,1.05884,0.0278,4.59408e-08,7.17372e-06
5.615e-06,1.05907,0.0279,4.63098e-08,7.27617e-06
5.62e-06,1.05929,0.028,4.6246e-08,7.21213e-06
5.62e-06,1.05951,0.0281,4.6246e-08,7.22095e-06
5.62e-06,1.05974,0.0282,4.6246e-08,7.24127e-06
5.635e-06,1.05996,0.0283,4.60377e-08,7.27821e-06
5.635e-06,1.06019,0.0284,4.60377e-08,7.32298e-06
5.645e-06,1.06041,0.0285,4.58847e-08,7.35638e-06
5.655e-06,1.06064,0.0286,4.57201e-08,7.33435e-06
5.655e-06,1.06086,0.0287,4.57201e-08,7.37042e-06
5.685e-06,1.06109,0.0288,4.57091e-08,7.33204e-06
5.7e-06,1.06131,0.0289,4.53905e-08,7.37313e-06
5.705e-06,1.06154,0.029,4.58299e-08,7.41802e-06
5.705e-06,1.06176,0.0291,4.58299e-08,7.3766e-06
5.725e-06,1.06199,0.0292,4.64507e-08,7.42997e-06
5.725e-06,1.06221,0.0293,4.64507e-08,7.51812e-06
5.735e-06,1.06244,0.0294,4.67418e-08,7.55156e-06
5.74e-06,1.06266,0.0295,4.71499e-08,7.66898e-06
5.745e-06,1.06289,0.0296,4.70205e-08,7.68813e-06
5.765e-06,1.06312,0.0297,4.91012e-08,7.65343e-06
5.77e-06,1.06334,0.0298,4.89641e-08,7.68711e-06
5.77e-06,1.06357,0.0299,4.89641e-08,7.73361e-06
5.775e-06,1.0638,0.03,4.88241e-08,7.72885e-06
5.795e-06,1.06402,0.0301,4.8752e-08,7.71502e-06
5.805e-06,1.06425,0.0302,4.84418e-08,7.81473e-06
5.81e-06,1.06447,0.0303,4.87997e-08,7.91252e-06
5.815e-06,1.0647,0.0304,4.91524e-08,7.95903e-06
5.815e-06,1.06493,0.0305,4.91524e-08,8.02687e-06
5.825e-06,1.06516,0.0306,4.88241e-08,8.11011e-06
5.84e-06,1.06538,0.0307,4.88254e-08,8.15839e-06
5.84e-06,1.06561,0.0308,4.88254e-08,8.0813e-06
5.85e-06,1.06584,0.0309,4.89847e-08,8.1565e-06
5.855e-06,1.06606,0.031,4.88035e-08,8.22395e-06
5.855e-06,1.06629,0.0311,4.88035e-08,8.18375e-06
5.87e-06,1.06652,0.0312,4.87585e-08,8.17316e-06
5.87e-06,1.06675,0.0313,4.87585e-08,8.18523e-06
5.885e-06,1.06697,0.0314,4.97115e-08,8.24895e-06
5.89e-06,1.0672,0.0315,5.00201e-08,8.30178e-06
5.89e-06,1.06743,0.0316,5.00201e-08,8.40943e-06
5.905e-06,1.06766,0.0317,4.94175e-08,8.38995e-06
5.91e-06,1.06789,0.0318,4.92098e-08,8.48614e-06
5.92e-06,1.06811,0.0319,4.92966e-08,8.49649e-06
5.935e-06,1.06834,0.032,4.86385e-08,8.52352e-06
5.94e-06,1.06857,0.0321,4.89282e-08,8.55868e-06
5.945e-06,1.0688,0.0322,4.87004e-08,8.57357e-06
5.965e-06,1.06903,0.0323,4.82755e-08,8.54112e-06
5.98e-06,1.06926,0.0324,4.80578e-08,8.65696e-06
5.98e-06,1.06949,0.0325,4.80578e-08,8.59834e-06
5.985e-06,1.06972,0.0326,4.88447e-08,8.62425e-06
5.99e-06,1.06995,0.0327,4.85933e-08,8.64225e-06
5.99e-06,1.07018,0.0328,4.85933e-08,8.61747e-06
5.995e-06,1.0704,0.0329,4.8338e-08,8.68138e-06
6e-06,1.07063,0.033,4.80787e-08,8.62841e-06
6e-06,1.07086,0.0331,4.80787e-08,8.76494e-06
6.015e-06,1.07109,0.0332,4.93564e-08,8.74055e-06
6.015e-06,1.07132,0.0333,4.93564e-08,8.7599e-06
6.025e-06,1.07155,0.0334,4.98427e-08,8.73481e-06
6.025e-06,1.07178,0.0335,4.98427e-08,8.82638e-06
6.045e-06,1.07201,0.0336,4.97721e-08,8.85812e-06
6.045e-06,1.07224,0.0337,4.97721e-08,8.8566e-06
6.07e-06,1.07247,0.0338,4.88614e-08,8.83558e-06
6.08e-06,1.0727,0.0339,4.87842e-08,8.77087e-06
6.085e-06,1.07293,0.034,4.89988e-08,8.79158e-06
6.095e-06,1.07316,0.0341,4.94175e-08,8.81848e-06
6.105e-06,1.07339,0.0342,4.98225e-08,8.86943e-06
6.105e-06,1.07362,0.0343,4.98225e-08,8.83397e-06
6.11e-06,1.07385,0.0344,5.00201e-08,8.80867e-06
6.12e-06,1.07408,0.0345,5.04054e-08,8.8627e-06
6.125e-06,1.07431,0.0346,5.05932e-08,8.84221e-06
6.13e-06,1.07454,0.0347,5.02806e-08,8.9076e-06
6.135e-06,1.07477,0.0348,4.99636e-08,8.95328e-06
6.15e-06,1.075,0.0349,5.05e-08,8.94355e-06
6.16e-06,1.07523,0.035,5.1334e-08,8.89683e-06
6.16e-06,1.07547,0.0351,5.1334e-08,8.90218e-06
6.175e-06,1.0757,0.0352,5.18199e-08,8.91802e-06
6.185e-06,1.07593,0.0353,5.1645e-08,8.99063e-06
6.2e-06,1.07616,0.0354,5.20919e-08,9.03741e-06
6.21e-06,1.07639,0.0355,5.14073e-08,9.02948e-06
6.23e-06,1.07662,0.0356,5.24333e-08,9.05052e-06
6.235e-06,1.07685,0.0357,5.25613e-08,9.11512e-06
6.24e-06,1.07709,0.0358,5.22075e-08,9.07589e-06
6.255e-06,1.07732,0.0359,5.16061e-08,9.1719e-06
6.265e-06,1.07755,0.036,5.13523e-08,9.16808e-06
6.265e-06,1.07778,0.0361,5.13523e-08,9.20749e-06
6.27e-06,1.07801,0.0362,5.09754e-08,9.1817e-06
6.28e-06,1.07825,0.0363,5.07036e-08,9.22505e-06
6.28e-06,1.07848,0.0364,5.07036e-08,9.27015e-06
6.29e-06,1.07871,0.0365,5.14073e-08,9.21368e-06
6.31e-06,1.07895,0.0366,5.03206e-08,9.2383e-06
6.32e-06,1.07918,0.0367,5.0005e-08,9.24898e-06
6.33e-06,1.07941,0.0368,5.01806e-08,9.19485e-06
6.335e-06,1.07965,0.0369,5.02644e-08,9.18759e-06
6.345e-06,1.07988,0.037,5.18974e-08,9.22815e-06
6.35e-06,1.08011,0.0371,5.19712e-08,9.2751e-06
6.35e-06,1.08034,0.0372,5.19712e-08,9.30407e-06
6.355e-06,1.08058,0.0373,5.15574e-08,9.28607e-06
6.355e-06,1.08081,0.0374,5.15574e-08,9.41125e-06
6.365e-06,1.08104,0.0375,5.16937e-08,9.45213e-06
6.37e-06,1.08128,0.0376,5.1758e-08,9.49557e-06
6.38e-06,1.08151,0.0377,5.13927e-08,9.56304e-06
6.38e-06,1.08174,0.0378,5.13927e-08,9.62654e-06
6.4e-06,1.08198,0.0379,5.01255e-08,9.60266e-06
6.405e-06,1.08221,0.038,5.06726e-08,9.65085e-06
6.41e-06,1.08244,0.0381,5.07185e-08,9.65919e-06
6.41e-06,1.08268,0.0382,5.07185e-08,9.71024e-06
6.41e-06,1.08291,0.0383,5.07185e-08,9.66598e-06
6.41e-06,1.08315,0.0384,5.07185e-08,9.71251e-06
6.415e-06,1.08338,0.0385,5.07618e-08,9.71161e-06
6.42e-06,1.08362,0.0386,5.08026e-08,9.83431e-06
6.43e-06,1.08385,0.0387,5.08767e-08,9.90903e-06
6.435e-06,1.08409,0.0388,5.09101e-08,9.91868e-06
6.44e-06,1.08432,0.0389,5.09409e-08,9.91105e-06
6.44e-06,1.08456,0.039,5.09409e-08,9.94288e-06
6.445e-06,1.08479,0.0391,5.14598e-08,9.94303e-06
6.445e-06,1.08503,0.0392,5.14598e-08,9.99762e-06
6.455e-06,1.08526,0.0393,5.10185e-08,1.00024e-05
6.47e-06,1.0855,0.0394,5.10739e-08,1.00192e-05
6.475e-06,1.08573,0.0395,5.05932e-08,1.00209e-05
6.48e-06,1.08597,0.0396,5.06044e-08,1.00238e-05
6.48e-06,1.08621,0.0397,5.06044e-08,1.00132e-05
6.485e-06,1.08644,0.0398,5.06131e-08,1.00521e-05
6.5e-06,1.08668,0.0399,4.96217e-08,1.00837e-05
6.525e-06,1.08691,0.04,5.00941e-08,1.00622e-05
6.54e-06,1.08715,0.0401,5.00452e-08,1.00979e-05
6.545e-06,1.08739,0.0402,5.00239e-08,1.00456e-05
6.55e-06,1.08762,0.0403,5e-08,1.01238e-05
6.55e-06,1.08786,0.0404,5e-08,1.00621e-05
6.55e-06,1.08809,0.0405,5e-08,1.0183e-05
6.555e-06,1.08833,0.0406,4.99736e-08,1.0245e-05
6.555e-06,1.08857,0.0407,4.99736e-08,1.02708e-05
6.56e-06,1.0888,0.0408,5.09409e-08,1.02951e-05
6.565e-06,1.08904,0.0409,5.04141e-08,1.02811e-05
6.57e-06,1.08928,0.041,5.03805e-08,1.03457e-05
6.58e-06,1.08952,0.0411,4.98036e-08,1.04424e-05
6.585e-06,1.08975,0.0412,4.9762e-08,1.04282e-05
6.595e-06,1.08999,0.0413,4.9671e-08,1.05614e-05
6.595e-06,1.09023,0.0414,4.9671e-08,1.06012e-05
6.595e-06,1.09047,0.0415,4.9671e-08,1.06903e-05
6.61e-06,1.09071,0.0416,4.95152e-08,1.07163e-05
6.61e-06,1.09094,0.0417,4.95152e-08,1.08796e-05
6.625e-06,1.09118,0.0418,5.08409e-08,1.08766e-05
6.64e-06,1.09142,0.0419,5.21112e-08,1.10127e-05
6.65e-06,1.09166,0.042,5.19712e-08,1.09428e-05
6.66e-06,1.0919,0.0421,5.18211e-08,1.10295e-05
6.67e-06,1.09213,0.0422,5.16609e-08,1.10178e-05
6.67e-06,1.09237,0.0423,5.16609e-08,1.11e-05
6.67e-06,1.09261,0.0424,5.16609e-08,1.10514e-05
