Smax_mean,<S^2>_mean,c,dev_Smax_mean,dev_<S^2>_mean
2.015e-06,1.0002,0.0001,8.61663e-09,8.61663e-08
2.08e-06,1.0004,0.0002,1.92315e-08,1.92315e-07
2.145e-06,1.0006,0.0003,2.49598e-08,2.49598e-07
2.235e-06,1.0008,0.0004,3.00565e-08,2.80859e-07
2.38e-06,1.001,0.0005,3.44081e-08,3.27853e-07
2.54e-06,1.0012,0.0006,3.53305e-08,3.52664e-07
2.665e-06,1.0014,0.0007,3.34585e-08,3.52664e-07
2.765e-06,1.0016,0.0008,3.08811e-08,3.49874e-07
2.81e-06,1.00179,0.0009,2.86987e-08,3.47984e-07
2.87e-06,1.00199,0.001,2.5862e-08,3.5043e-07
2.91e-06,1.00219,0.0011,2.26287e-08,3.6139e-07
2.955e-06,1.0024,0.0012,1.77892e-08,3.56983e-07
2.985e-06,1.0026,0.0013,1.5e-08,3.55697e-07
2.995e-06,1.0028,0.0014,1.32572e-08,2.42992e-07
3.005e-06,1.003,0.0015,1.12028e-08,2.54704e-07
3.025e-06,1.0032,0.0016,1.3143e-08,2.64646e-07
3.025e-06,1.0034,0.0017,1.3143e-08,3.443e-07
3.035e-06,1.0036,0.0018,1.48315e-08,3.64488e-07
3.035e-06,1.0038,0.0019,1.48315e-08,4.1932e-07
3.045e-06,1.00401,0.002,1.46954e-08,4.90807e-07
3.055e-06,1.00421,0.0021,1.61611e-08,4.95089e-07
3.06e-06,1.00441,0.0022,1.6835e-08,5.43763e-07
3.065e-06,1.00461,0.0023,1.74758e-08,5.49543e-07
3.07e-06,1.00481,0.0024,1.80869e-08,5.62199e-07
3.07e-06,1.00502,0.0025,1.80869e-08,5.66928e-07
3.07e-06,1.00522,0.0026,1.80869e-08,5.76944e-07
3.075e-06,1.00542,0.0027,1.86713e-08,5.989e-07
3.08e-06,1.00562,0.0028,1.92315e-08,6.0463e-07
3.085e-06,1.00582,0.0029,1.97694e-08,6.64196e-07
3.095e-06,1.00603,0.003,2.07855e-08,6.8362e-07
3.11e-06,1.00623,0.0031,2.21802e-08,6.6287e-07
3.125e-06,1.00643,0.0032,2.3444e-08,6.65707e-07
3.14e-06,1.00663,0.0033,2.45973e-08,7.09864e-07
3.145e-06,1.00684,0.0034,2.49598e-08,7.18728e-07
3.145e-06,1.00704,0.0035,2.49598e-08,7.59e-07
3.17e-06,1.00724,0.0036,2.66279e-08,8.06934e-07
3.19e-06,1.00745,0.0037,2.78095e-08,8.00879e-07
3.2e-06,1.00765,0.0038,2.83552e-08,8.18719e-07
3.205e-06,1.00785,0.0039,2.86176e-08,8.14782e-07
3.235e-06,1.00805,0.004,3.00565e-08,8.18627e-07
3.25e-06,1.00826,0.0041,3.06955e-08,8.79348e-07
3.28e-06,1.00846,0.0042,3.18287e-08,8.88226e-07
3.3e-06,1.00866,0.0043,3.2485e-08,8.68748e-07
3.31e-06,1.00887,0.0044,3.27853e-08,9.07804e-07
3.355e-06,1.00907,0.0045,3.39209e-08,9.29689e-07
3.38e-06,1.00927,0.0046,3.44081e-08,9.53432e-07
3.405e-06,1.00948,0.0047,3.47984e-08,1.03384e-06
3.42e-06,1.00968,0.0048,3.49874e-08,1.02206e-06
3.475e-06,1.00989,0.0049,3.61025e-08,1.03339e-06
3.495e-06,1.01009,0.005,3.61443e-08,1.04612e-06
3.505e-06,1.01029,0.0051,3.61443e-08,1.0914e-06
3.525e-06,1.0105,0.0052,3.61025e-08,1.08612e-06
3.55e-06,1.0107,0.0053,3.59718e-08,1.12921e-06
3.565e-06,1.01091,0.0054,3.58511e-08,1.15371e-06
3.605e-06,1.01111,0.0055,3.60747e-08,1.16481e-06
3.625e-06,1.01131,0.0056,3.57529e-08,1.21639e-06
3.64e-06,1.01152,0.0057,3.54724e-08,1.25892e-06
3.65e-06,1.01172,0.0058,3.52664e-08,1.24092e-06
3.665e-06,1.01193,0.0059,3.49281e-08,1.2994e-06
3.69e-06,1.01213,0.006,3.42838e-08,1.30085e-06
3.72e-06,1.01234,0.0061,3.41148e-08,1.29164e-06
3.745e-06,1.01254,0.0062,3.32476e-08,1.34347e-06
3.76e-06,1.01275,0.0063,3.34303e-08,1.31047e-06
3.79e-06,1.01295,0.0064,3.21663e-08,1.33016e-06
3.815e-06,1.01316,0.0065,3.09624e-08,1.37228e-06
3.825e-06,1.01336,0.0066,3.04386e-08,1.34328e-06
3.83e-06,1.01357,0.0067,3.0167e-08,1.39919e-06
3.84e-06,1.01377,0.0068,2.96037e-08,1.43754e-06
3.86e-06,1.01398,0.0069,2.83907e-08,1.42673e-06
3.87e-06,1.01418,0.007,2.77371e-08,1.48286e-06
3.875e-06,1.01439,0.0071,2.73976e-08,1.51449e-06
3.895e-06,1.01459,0.0072,2.68978e-08,1.51535e-06
3.91e-06,1.0148,0.0073,2.67033e-08,1.52236e-06
3.92e-06,1.01501,0.0074,2.59106e-08,1.54189e-06
3.95e-06,1.01521,0.0075,2.53121e-08,1.57829e-06
3.965e-06,1.01542,0.0076,2.3911e-08,1.60351e-06
3.965e-06,1.01562,0.0077,2.3911e-08,1.63648e-06
3.975e-06,1.01583,0.0078,2.29019e-08,1.64683e-06
3.985e-06,1.01604,0.0079,2.29458e-08,1.70054e-06
4e-06,1.01624,0.008,2.24168e-08,1.71842e-06
4.01e-06,1.01645,0.0081,2.24056e-08,1.72822e-06
4.02e-06,1.01666,0.0082,2.23719e-08,1.7539e-06
4.045e-06,1.01686,0.0083,2.16151e-08,1.79536e-06
4.045e-06,1.01707,0.0084,2.16151e-08,1.7743e-06
4.06e-06,1.01728,0.0085,2.20096e-08,1.74614e-06
4.07e-06,1.01748,0.0086,2.29813e-08,1.80312e-06
4.08e-06,1.01769,0.0087,2.38926e-08,1.79161e-06
4.09e-06,1.0179,0.0088,2.475e-08,1.83942e-06
4.09e-06,1.01811,0.0089,2.475e-08,1.88588e-06
4.105e-06,1.01831,0.009,2.3932e-08,1.89684e-06
4.11e-06,1.01852,0.0091,2.43405e-08,1.91482e-06
4.12e-06,1.01873,0.0092,2.4102e-08,1.93889e-06
4.125e-06,1.01894,0.0093,2.44923e-08,1.99048e-06
4.125e-06,1.01914,0.0094,2.44923e-08,2.01266e-06
4.125e-06,1.01935,0.0095,2.44923e-08,2.02552e-06
4.125e-06,1.01956,0.0096,2.44923e-08,2.03757e-06
4.125e-06,1.01977,0.0097,2.44923e-08,2.05668e-06
4.125e-06,1.01997,0.0098,2.44923e-08,2.10516e-06
4.135e-06,1.02018,0.0099,2.52401e-08,2.11836e-06
4.135e-06,1.02039,0.01,2.52401e-08,2.12775e-06
4.15e-06,1.0206,0.0101,2.6286e-08,2.16653e-06
4.16e-06,1.02081,0.0102,2.69375e-08,2.19579e-06
4.165e-06,1.02102,0.0103,2.72505e-08,2.19354e-06
4.165e-06,1.02122,0.0104,2.72505e-08,2.21198e-06
4.18e-06,1.02143,0.0105,2.72343e-08,2.24053e-06
4.18e-06,1.02164,0.0106,2.72343e-08,2.2582e-06
4.185e-06,1.02185,0.0107,2.75257e-08,2.27388e-06
4.19e-06,1.02206,0.0108,2.78095e-08,2.29934e-06
4.2e-06,1.02227,0.0109,2.83552e-08,2.32283e-06
4.205e-06,1.02248,0.011,2.86176e-08,2.35092e-06
4.21e-06,1.02268,0.0111,2.88733e-08,2.39658e-06
