Smax_mean,<S^2>_mean,c,dev_Smax_mean,dev_<S^2>_mean
2.1e-07,1.0002,0.0001,1e-08,7.40149e-17
2.7e-07,1.0004,0.0002,1.52753e-08,7.40149e-17
3e-07,1.0006,0.0003,1.76465e-23,7.40149e-17
3e-07,1.0008,0.0004,1.76465e-23,0
3e-07,1.001,0.0005,1.76465e-23,7.40149e-17
3e-07,1.0012,0.0006,1.76465e-23,7.40149e-17
3e-07,1.0014,0.0007,1.76465e-23,0
3.1e-07,1.0016,0.0008,1e-08,0
3.1e-07,1.0018,0.0009,1e-08,7.40149e-17
3.1e-07,1.002,0.001,1e-08,7.40149e-17
3.1e-07,1.0022,0.0011,1e-08,1.33333e-06
3.1e-07,1.0024,0.0012,1e-08,1.66667e-06
3.2e-07,1.00261,0.0013,1.33333e-08,1.33333e-06
3.2e-07,1.00281,0.0014,1.33333e-08,0
3.2e-07,1.00301,0.0015,1.33333e-08,0
3.2e-07,1.00321,0.0016,1.33333e-08,7.40149e-17
3.3e-07,1.00341,0.0017,1.52753e-08,7.40149e-17
3.3e-07,1.00361,0.0018,1.52753e-08,0
3.3e-07,1.00381,0.0019,1.52753e-08,1.33333e-06
3.4e-07,1.00402,0.002,1.63299e-08,1.66667e-06
3.4e-07,1.00422,0.0021,1.63299e-08,1.52753e-06
3.4e-07,1.00442,0.0022,1.63299e-08,7.40149e-17
3.6e-07,1.00462,0.0023,1.63299e-08,7.40149e-17
3.6e-07,1.00482,0.0024,1.63299e-08,7.40149e-17
3.7e-07,1.00502,0.0025,1.52753e-08,1.52753e-06
3.7e-07,1.00523,0.0026,1.52753e-08,1.66667e-06
3.8e-07,1.00543,0.0027,1.33333e-08,1e-06
3.8e-07,1.00563,0.0028,1.33333e-08,0
3.8e-07,1.00583,0.0029,1.33333e-08,1.33333e-06
3.8e-07,1.00604,0.003,1.33333e-08,1.63299e-06
3.8e-07,1.00624,0.0031,1.33333e-08,1.33333e-06
3.9e-07,1.00644,0.0032,1e-08,7.40149e-17
3.9e-07,1.00664,0.0033,1e-08,1.33333e-06
3.9e-07,1.00685,0.0034,1e-08,1.63299e-06
3.9e-07,1.00705,0.0035,1e-08,1.33333e-06
3.9e-07,1.00725,0.0036,1e-08,1e-06
3.9e-07,1.00745,0.0037,1e-08,1.63299e-06
4e-07,1.00766,0.0038,0,1.52753e-06
4e-07,1.00786,0.0039,0,7.40149e-17
4e-07,1.00806,0.004,0,1.33333e-06
4e-07,1.00827,0.0041,0,1.63299e-06
4e-07,1.00847,0.0042,0,1e-06
4e-07,1.00867,0.0043,0,1.52753e-06
4.1e-07,1.00888,0.0044,1e-08,1.52753e-06
4.1e-07,1.00908,0.0045,1e-08,1.79505e-06
4.1e-07,1.00928,0.0046,1e-08,2.13437e-06
4.1e-07,1.00949,0.0047,1e-08,1.33333e-06
4.2e-07,1.00969,0.0048,1.33333e-08,1.49071e-06
4.2e-07,1.00989,0.0049,1.33333e-08,1.66667e-06
4.2e-07,1.0101,0.005,1.33333e-08,1e-06
4.2e-07,1.0103,0.0051,1.33333e-08,2.21108e-06
4.2e-07,1.01051,0.0052,1.33333e-08,1e-06
4.3e-07,1.01071,0.0053,1.52753e-08,2.13437e-06
4.3e-07,1.01092,0.0054,1.52753e-08,1.52753e-06
